Repository's Location,Branch,Author's GitHub ID,Author's Emails,Author's Display Name,Author's Git Author Name,Ignore Glob List
https://github.com/castryl/ip.git,master,castryl,,CS2103-F11-2 LOW .. IAN,,
https://github.com/isaacyclai/ip.git,master,isaacyclai,,CS2103-F09-1 ISAA..HUNG,,
https://github.com/pokedot/ip.git,master,pokedot,,CS2103-F10-2 NG M.. JIE,,
https://github.com/udonzzz/ip.git,master,udonzzz,,CS2103-F09-2 ADON.. YAP,adon,
https://github.com/weihan-01/ip.git,master,weihan-01,,CS2103-F13-4 TAN .. HAN,,
https://github.com/learningcoding-pixel/ip.git,master,learningcoding-pixel,,CS2103-F13-1 YIN .. HAO,,
https://github.com/Gracesong146/ip.git,master,Gracesong146,,CS2103-F13-4 GRAC..SONG,Graceee,
https://github.com/Ma-Yirui/ip.git,master,Ma-Yirui,,CS2103-F11-1 MA Y..IRUI,,
https://github.com/plingplingshiny/ip.git,master,plingplingshiny,,CS2103-F10-2 HO P..LING,,
https://github.com/Z-Puyu/ip.git,master,Z-Puyu,,CS2103-F12-1 ZHAN..PUYU,Puyu,
https://github.com/BoredFurry/ip.git,master,BoredFurry,,CS2103-F09-1 LIM .. IAN,FoxLoaves;Ryuji,
https://github.com/robinlogic/ip.git,master,robinlogic,,CS2103-F13-2 ROBI..HOSH,,
https://github.com/Hinlokk/ip.git,master,Hinlokk,,CS2103-F11-2 CHAN.. LOK,,
https://github.com/Rah-Rah-Mitra/ip.git,master,Rah-Rah-Mitra,,CS2103-F13-3 RAHU..ITRA,Rahul Mitra,
https://github.com/yuanjasper/ip.git,master,yuanjasper,,CS2103-F09-2 YUAN..SPER,,
https://github.com/kin-chong/ip.git,master,kin-chong,,CS2103-F10-2 CASE..CONG,,
https://github.com/mjykxz17/ip.git,master,mjykxz17,,CS2103-F10-2 MA J..IAYI,,
https://github.com/tyuzuwu/ip.git,master,tyuzuwu,,CS2103-F13-3 TEW ..HONG,zheng hong,
https://github.com/yzr456/ip.git,master,yzr456,,CS2103-F12-4 YEON..IRUI,Zirui,
